Code,MainCost,Debt,AverageConsume,Target
11146297,0,0,0.712871287,Low
1131769,1794715,0,36.0,High
1142104,0,0,0.0,Low
1182286,0,0,0.0,Low
11122853,0,0,1.170731707,Low
1132263,0,0,1.794871795,Low
1185294,98501,0,0.0,Low
11144719,0,0,0.909090909,Low
11153667,0,0,0.243902439,Low
1139635,0,0,1.530612245,Low
1111551,88650,0,0.0,Low
1152131,941740,0,22.0,High
1183851,174686,0,16.17977528,Low
112270,0,0,0.0,Low
1141360,4575091,0,31.93548387,High
1134694,97936,0,18.35294118,Low
1148780,84238,0,2.779291553,Low
11130649,27411,0,10.83700441,Low
1111662,0,0,6.315789474,Low
1159184,0,0,3.618421053,Low
1175235,1190359,0,29.67391304,High
1132480,0,0,26.4516129,High
11147284,0,0,0.0,Low
1134263,0,0,5.625,Low
1156722,365461,0,11.46496815,Low
1144169,84368,0,8.711790393,Low
1156813,44333,0,0.0,Low
1163758,2697776,0,34.89130435,High
1160952,0,0,2.0,Low
11120581,0,1951529,4.043887147,Moderate
1178392,474613,0,0.0,Low
11145807,2258,0,10.10869565,Low
1173408,0,0,0.0,Low
1178393,74667,0,0.0,Low
1151914,63000,0,0.0,Low
11115656,159838,1385860,10.73825503,Moderate
112838,6425496,0,31.66666667,High
1117785,0,0,13.36956522,Low
1146781,0,0,7.0,Low
11112426,70000,0,0.0,Low
1189055,8104,0,26.0,High
1191610,621667,0,0.0,Low
11154593,114390,0,9.792746114,Low
1187648,0,579008,0.197802198,Low
1144320,1557734,293255,9.713656388,Low
1162596,2423965,232162,18.20895522,High
1115825,0,2298743,6.219512195,Moderate
1118926,0,0,4.398249453,Low
1125103,1014985,943692,15.54479419,Moderate
1124976,0,1242229,1.307506053,Moderate
1124971,1984011,2549426,16.48910412,Moderate
118317,2399072,424997,19.34579439,High
11139722,67667,1147300,0.0,Low
11155001,0,153748,0.0,Low
1184031,0,1099622,15.0,Moderate
1184032,0,551696,7.142857143,Low
11127132,0,1117550,17.85714286,Moderate
1199953,183258,0,11.78571429,Low
11152622,554477,571752,19.28571429,Low
1177534,264639,0,17.33333333,Low
1123961,2937937,634524,14.95867769,High
11119764,399461,0,8.780487805,Low
11127116,4672502,0,19.04347826,High
1128063,139743,230595,9.166666667,Low
116042,0,401005,0.0,Low
1131978,0,0,0.0,Low
117229,178141,37831,5.175202156,Low
11153945,333369,153996,14.88833747,Low
1127770,1045079,962601,16.10354223,Moderate
11147839,0,0,2.408759124,Low
11147097,4816859,617649,21.68122271,High
11127117,0,0,1.024390244,Low
11103878,0,1525644,4.351851852,Moderate
1161012,16622,0,6.0,Low
1195003,0,0,2.766990291,Low
114958,272522,558491,9.801324503,Low
1171950,413299,1104289,10.21276596,Moderate
1196526,0,1342224,0.638297872,Moderate
1195243,0,1276277,1.450381679,Moderate
1169960,1257514,2280045,16.06779661,Moderate
11155075,0,1381531,2.872340426,Moderate
1133054,226856,0,1.276595745,Low
1111969,230839,0,12.30769231,Low
1136728,414641,0,26.0,High
11148480,782751,370011,14.57865169,Low
1129394,3779599,427109,22.05607477,High
11143133,1142680,555063,20.96273292,High
11148725,2256742,0,4.262734584,Low
11131729,2346245,622127,19.19254658,High
11131721,2661173,555539,27.76397516,High
1117026,422789,0,12.69592476,Low
1114187,0,389034,0.0,Low
11132363,31514,622186,7.894736842,Low
1195271,26121,296457,2.516129032,Low
11139714,134859,0,9.938080495,Low
11142258,0,166462,0.0,Low
11147470,0,0,6.077170418,Low
11149414,992334,0,15.41353383,Low
1144854,0,1666020,4.087912088,Moderate
1197806,725193,17059,17.79310345,Low
1123475,2313366,0,18.23529412,High
11100537,0,0,3.082706767,Low
11147546,819399,384698,14.70914127,Low
1132126,999596,1546284,16.24203822,Moderate
