Code,MainCost,Debt,AverageConsume,Target
119088,0,0,7.875,Low
11147759,0,0,0.269461078,Low
1180337,356495,0,22.0,High
11147617,0,0,0.761904762,Low
11109871,572598,0,16.32911392,Low
1156020,0,0,1.578947368,Low
11116814,221940,0,17.3015873,Low
1127385,0,0,2.681564246,Low
11146255,541975,0,24.36363636,High
11150435,169850,0,15.73770492,Low
116490,0,0,0.254237288,Low
11148135,0,0,0.111801242,Low
113248,814080,0,1.117154812,Low
11148459,0,0,3.720930233,Low
11149103,0,0,1.653543307,Low
11147758,0,0,3.720930233,Low
1183370,309084,0,7.014388489,Low
1141878,0,0,2.5,Low
1131048,0,0,0.0,Low
11154016,0,0,0.795454545,Low
11130272,0,0,4.891304348,Low
1123135,0,0,8.446601942,Low
116489,0,0,3.333333333,Low
1135696,0,0,0.290556901,Low
1194126,0,0,10.3336339,Low
11149230,0,0,3.548387097,Low
11149229,0,0,2.580645161,Low
11146025,0,0,0.0,Low
1163979,113096,0,16.10526316,Low
1152299,0,0,5.161290323,Low
11611,1429,0,0.231124807,Low
11153092,61719,0,2.027833002,Low
1148987,0,0,2.5,Low
1152797,0,0,5.0,Low
1181486,0,0,10.64516129,Low
1173753,0,0,12.5,Low
1114003,4966,0,26.0,High
11145147,0,0,3.510638298,Low
1125266,0,0,4.516129032,Low
11139071,0,0,1.962616822,Low
11116475,0,0,0.0,Low
11100892,0,0,7.582417582,Low
1161840,0,0,0.0,Low
11136433,6740,0,10.71428571,Low
1140006,0,0,7.340425532,Low
11110723,0,0,16.63043478,Low
11104275,175730,0,14.58333333,Low
1159146,396940,0,19.6875,Low
117939,0,0,17.69784173,Low
1168909,6744880,0,35.36842105,High
1181752,270004,0,23.87096774,High
115126,0,0,17.1875,Low
1120010,0,0,12.08333333,Low
1155188,0,0,0.625,Low
1186139,0,0,21.78947368,Low
11137410,0,0,13.26315789,Low
11101054,0,0,15.15789474,Low
1144418,231487,0,19.57894737,Low
1173152,0,0,0.0,Low
1176368,0,0,0.0,Low
11150390,2211780,216242,15.88235294,High
11156503,4153154,733197,32.09302326,High
11158507,294000,0,0.0,Low
1123831,4667,1128389,0.0,Low
11158508,294000,0,0.0,Low
118714,4667,1757477,0.0,Low
11158506,294000,0,0.0,Low
11156895,0,929575,0.112781955,Low
11158487,0,0,0.0,Low
11158486,0,461639,0.0,Low
11151113,51143,0,0.71964018,Low
1157702,143596,0,6.666666667,Low
1165246,3307548,0,26.875,High
1162894,4422990,583225,30.0,High
1157267,4493907,0,29.42307692,High
11158582,346568,0,0.236220472,Low
114783,0,0,0.0,Low
11151115,55242,454447,0.718562874,Low
11147935,14000,222777,0.0,Low
1181483,138439,0,1.875,Low
1157688,3518078,0,27.5,High
1160390,256607,0,13.95348837,Low
1169539,1076764,652663,19.77272727,High
11109379,1580676,0,21.27906977,High
11118170,16180,0,0.0,Low
1146799,32667,0,0.0,Low
11150811,140845,1180915,3.521545319,Low
1122216,0,0,0.0,Low
11151054,133365,0,3.558558559,Low
1136728,91000,414192,0.0,Low
11111684,524018,576575,6.818181818,Low
1176119,345671,0,13.21428571,Low
11151617,0,0,4.259818731,Low
11151640,0,0,4.285714286,Low
11157477,559180,0,0.127118644,Low
11151641,0,245321,4.285714286,Low
11151624,0,1366837,4.292237443,Low
11151045,168039,159512,4.190193165,Low
11151680,5025072,244951,30.0,High
11151041,168039,0,4.190193165,Low
11153468,0,1303962,5.696969697,Low
11151643,0,0,4.285714286,Low
11151613,0,0,4.259818731,Low
11151645,0,0,4.292237443,Low
11151607,0,0,4.285714286,Low
1145215,5103509,0,35.45454545,High
1121669,0,0,13.87096774,Low
1179232,495349,2223450,19.23913043,Moderate
11127003,527414,0,1.5,Low
11104625,3841862,0,31.63636364,High
1121653,865318,260821,24.19354839,High
1123583,154157,0,9.0,Low
11121582,3776133,0,32.4,High
1142759,0,0,17.09677419,Low
11135930,4479390,0,29.4,High
1117987,1713842,987649,6.6,Low
11101564,1295673,0,21.93548387,High
1121881,0,1440556,23.22580645,Moderate
1124053,0,1783773,13.36956522,Moderate
1134590,0,3337501,20.96774194,Moderate
1112809,6133708,0,37.63636364,High
1121678,0,1871783,22.25806452,Moderate
11111722,3573934,0,27.0,High
1121883,0,0,12.90322581,Low
1131493,0,0,29.67741935,High
1123887,1407544,0,23.52941176,High
1184810,1188238,0,19.41176471,High
11125948,142619,1501041,4.285714286,Low
11147304,172672,3713554,5.882352941,Moderate
1175306,298197,0,8.235294118,Low
1195315,298197,0,8.235294118,Low
115248,920036,0,20.625,High
1120505,5365410,0,36.47058824,High
1153273,420866,0,14.11764706,Low
1115047,3070702,0,30.0,High
11103593,125223,1032863,1.764705882,Low
1186117,138569,0,6.153846154,Low
11129841,617456,0,24.70588235,High
1153453,37158,460840,2.282608696,Low
1135111,372896,99157,12.94117647,Low
1165462,2252061,0,24.06593407,High
11153644,119000,1261609,0.0,Low
1153591,1219292,0,22.35294118,High
1121223,3570278,0,29.34065934,High
1115027,778044,641355,14.84210526,Low
1188766,373705,1456975,10.0,Moderate
1159674,222728,2673231,8.235294118,Moderate
11140912,350475,2573488,12.35294118,Moderate
1167895,119000,170874,0.0,Low
1159258,532030,0,12.94117647,Low
1196254,72333,408430,0.0,Low
1134342,308762,0,11.17647059,Low
11140371,329097,0,11.76470588,Low
11139051,1130195,0,21.76470588,High
1149311,3332744,0,30.58823529,High
11131330,639928,0,18.8372093,Low
1170348,809493,0,17.60869565,Low
1171489,195614,171531,7.058823529,Low
11131744,203907,0,16.04651163,Low
11157658,1311742,0,22.94117647,High
115679,405300,1960513,14.08163265,Moderate
1174996,3253644,0,25.88235294,High
11139626,544850,184977,17.14285714,Low
1130272,500860,0,13.33333333,Low
11147463,1506698,0,24.11764706,High
11140169,2149141,0,25.88235294,High
11146921,1219292,0,22.35294118,High
115719,446416,393796,14.70588235,Low
1159833,463828,0,11.76470588,Low
11104600,658766,0,18.36734694,Low
1189274,172672,833047,5.882352941,Low
