Code,MainCost,Debt,AverageConsume,Target
11139557,0,0,5.869565217,Low
11147889,33041,0,11.30769231,Low
1159338,346678,0,18.4375,Low
11152216,0,0,5.196850394,Low
11125728,1845429,0,38.91891892,High
11112480,891914,0,34.63917526,High
1163832,752445,0,22.66304348,High
11106528,238072,0,17.4025974,Low
1198168,0,0,2.359550562,Low
11157249,0,0,6.275510204,Low
11129490,0,0,1.840490798,Low
11129084,255251,0,22.26804124,Low
1137637,0,0,5.585106383,Low
11156217,42839,0,12.39669421,Low
11151170,0,0,6.713286713,Low
11133986,415102,0,13.33333333,Low
1174344,211977,0,10.0,Low
11124825,2973248,0,33.91304348,High
1158288,2070818,0,29.34782609,High
11139428,174845,0,7.826086957,Low
11113727,246240,0,8.666666667,Low
11109015,185688,379087,8.666666667,Low
1175278,318281,0,14.65116279,Low
11133894,179212,0,6.279069767,Low
1123073,832070,0,24.45652174,High
11134880,1071306,0,24.0,High
1191302,386593,0,12.66666667,Low
1163532,121350,261262,0.0,Low
1133922,386593,0,12.66666667,Low
1191110,682086,0,20.2173913,Low
1175279,100333,436821,0.0,Low
11143670,154638,511739,6.52173913,Low
11115183,121350,160237,0.0,Low
11147270,242022,0,11.33333333,Low
1117642,1032238,0,23.47826087,High
11128791,2227783,0,30.68181818,High
11144071,543759,0,16.0,Low
11119435,935587,0,20.23255814,Low
11116565,423249,650036,13.95348837,Low
1198860,384605,908124,16.74418605,Moderate
1133821,4350337,0,39.33333333,High
1163070,232125,467348,12.63157895,Low
11105468,163154,0,7.333333333,Low
11112103,136518,0,10.22727273,Low
1152939,451183,0,19.43181818,Low
11116542,386593,708348,12.66666667,Low
11111350,227965,0,8.0,Low
1183150,153295,0,6.666666667,Low
1163810,1071306,0,24.0,High
11133901,246533,0,9.069767442,Low
1170646,186326,0,8.47826087,Low
11143870,107333,450803,0.0,Low
11133821,386593,0,12.66666667,Low
1178993,259546,0,12.27272727,Low
1190174,879466,1567990,22.5,Moderate
11131567,102667,123178,0.0,Low
1161837,258453,0,12.0,Low
11109631,668532,0,18.13953488,Low
1187418,212163,0,10.46511628,Low
11151807,107333,980263,0.0,Low
11143687,339407,281172,15.34883721,Low
1119026,879466,0,22.5,High
11143023,376865,0,13.125,Low
11126017,145912,442610,5.869565217,Low
111648,3702544,0,36.52173913,High
11896,1232721,116878,31.36363636,High
11128433,529699,459302,18.66666667,Low
1198967,646990,0,20.0,Low
11125500,299451,3110523,14.0,Moderate
11133547,107333,1046442,0.0,Low
1115755,141000,0,10.90909091,Low
11123091,393414,0,13.25581395,Low
11125809,507429,602549,18.26086957,Moderate
115740,178666,232443,17.25,Low
11102797,211565,0,13.04347826,Low
11114969,129353,318562,4.666666667,Low
11147152,710163,0,20.66666667,Low
11144713,883319,789798,22.17391304,Moderate
1112886,2973248,0,33.91304348,High
11152518,1942559,0,29.30232558,High
1141979,586835,0,19.33333333,Low
11143726,1071306,0,24.0,High
11108462,241436,188722,11.08695652,Low
1188208,294131,0,13.33333333,Low
1135351,351655,0,15.0,Low
1130564,2698789,0,32.60869565,High
1137763,1341780,0,25.22727273,High
115421,246854,0,19.5,Low
1112352,395743,0,16.30434783,Low
11132531,661368,261443,20.0,Low
1130836,2934073,0,34.0,High
11123066,2147285,693699,30.0,High
1153077,107333,360696,0.0,Low
1110814,330989,0,14.34782609,Low
